name,color,category,breadcrumbs,description
Trefoil Backpack,Grey,Accessories,Originals/Accessories,"You're all about the Trefoil. Now, so is your backpack, thanks to bold adidas branding. And behind that big, beautiful icon? Plenty of space to hold everything from laptop to earbuds.

This product is made with recycled content as part of our ambition to end plastic waste."
Stan Smith Shoes,White,Shoes,Men/Shoes,"Since the '70s, millions of feet have stepped into the iconic Stan Smith tennis shoes, putting their own spin on the timeless court design. This time around? We're spinning it with recycled materials. Lace in and join the journey. With the same streamlined design that's been effortlessly cool for decades, you'll look fresh with every step. 

This product is made with Primegreen, a series of high-performance recycled materials. 50% of the upper is recycled content. No virgin polyester."
College Tee,White,Clothing,Men/Clothing,"It's all how you look at it. With this adidas t-shirt, we took '90s inspiration and flipped it for the present. The graphics reframe collegiate vibes with positive messaging, showcasing how the past informs the future and that the future is what we make of it."
Essentials Backpack,Black,Accessories,Training/Accessories,"Grab your gear and go. The ideal size for your post-workout essentials, this adidas backpack has a roomy main compartment plus dedicated water bottle pockets. Throw it over your shoulders or carry it by the top handles, either way, your adidas love shines from every angle thanks to the contrast 3-Stripes."
Stan Smith Shoes,White,Shoes,Men/Shoes,"Ever since they appeared on the tennis scene in the '70s, adidas Stan Smith Shoes have continued to evolve and adapt to new settings. Carry on the tradition in this chic textile version made with MORPHLON® fabric which combines recycled polyester with textile waste scraps. A classic rubber outsole and perforated 3-Stripes honor the original style. 

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content."
Essentials Backpack,Blue,Accessories,Training/Accessories,"Grab your gear and go. The ideal size for your post-workout essentials, this adidas backpack has a roomy main compartment plus dedicated water bottle pockets. Throw it over your shoulders or carry it by the top handles, either way, your adidas love shines from every angle thanks to the contrast 3-Stripes."
Stan Smith Shoes,White,Shoes,Originals/Shoes,"When it comes to the adidas Stan Smith Shoes, they've always been about keeping things clean. Their minimalist, low-key look is what they're known for. A staple for 50 years. But today they take ""clean"" in a new direction. We're talking recycled materials, synthetic leather and renewable rubber — all part of our effort to help end plastic waste. Cut-off digital prints pop against the crisp white upper throughout.

This product is made with vegan alternatives to animal-derived ingredients or materials. It is also made with Primegreen, a series of high-performance recycled materials. 70% of upper is recycled content. No virgin polyester."
Cargo Pants,Black,Clothing,Women/Clothing,"It's all in the details with these adidas pants. Gold accents flash unexpectedly throughout, from the snaps to the drawstring tips to the Trefoil logo. The matching zips on the ankles get in on the fun and change the classic cargo silhouette into a tapered look."
Own the Run Tee,White,Clothing,Men/Clothing,"The drawer is full of running t-shirts that didn't quite work out. Too thick, too thin. Too tight, too loose. But the one that always seems to find its way to the top of the pile is this adidas Own the Run Tee. Made with recycled materials as part of our commitment to sustainability, it keeps you comfortable on a long loop on Sunday and a lunchtime 5K on Monday. Never settle for not-quite-right again."
Own the Run Tee,Red,Clothing,Men/Clothing,"The drawer is full of running t-shirts that didn't quite work out. Too thick, too thin. Too tight, too loose. But the one that always seems to find its way to the top of the pile is this adidas Own the Run Tee. Made with recycled materials as part of our commitment to sustainability, it keeps you comfortable on a long loop on Sunday and a lunchtime 5K on Monday. Never settle for not-quite-right again."
Techfit Tights,Black,Clothing,Kids/Clothing,"You've got big goals. These juniors' training tights help you achieve them. Techfit hugs your muscles for a supportive feel. adidas AEROREADY wicks moisture to keep you dry as you raise the intensity. 

This product is made with Primegreen, a series of high-performance recycled materials."
Ultimate365 3-Stripes Polo Shirt,White,Clothing,Men/Clothing,"Each shot in a round of golf requires your complete concentration. From the first drive to the final putt, swing confidently in distraction-free comfort in this golf polo. It combines year-round performance on the links with adidas sportswear style."
Primeblue SST Track Pants (Plus Size),Pink,Clothing,Women/Clothing,"Slim and sleek and good for the planet. Sound too good to be true? Not anymore. Be part of the solution when you rock these Primeblue SST Track Pants. Part of adidas' commitment to creating a better world for all, the slightly stretchy fabric is made with Parley Ocean Plastic that's made from upcycled plastic waste collected from ocean shores. Our oceans matter. Together we can make a difference."
AEROREADY Designed to Move Sport Motion Logo Tee,White,Clothing,Men/Clothing,"Get the fit and performance of a workout tee with style that belongs in your daily-wear wardrobe in this adidas t-shirt. It sits comfortably as you bend, stretch and move through your day. You'll stay feeling dry and fresh, from a training session in the gym to whatever comes next, thanks to moisture-absorbing AEROREADY."
Own the Run Long Sleeve Tee,White,Clothing,Men/Clothing,"The key to getting in your daily miles all year round? Layers. Like this adidas long sleeve running t-shirt. The sun might be coming up later, but your burst of endorphins doesn't need to wait. Just throw on this breathable tee and head out the door as usual. AEROREADY manages moisture, so as the heat builds on tempo runs and hurt workouts, you stay cool and dry."
Techfit Tights,Blue,Clothing,Kids/Clothing,"You've got big goals. These juniors' training tights help you achieve them. Techfit hugs your muscles for a supportive feel. adidas AEROREADY wicks moisture to keep you dry as you raise the intensity. 

This product is made with Primegreen, a series of high-performance recycled materials."
AEROREADY Designed 2 Move Feelready Sport Tee,Yellow,Clothing,Men/Clothing,"Designed with training in mind, it's the smart details on this sport tee that make it stand out from the crowd. From the angled seams of the FreeLift design, enhancing range of motion during overhead movements, to the sweat-wicking AEROREADY, attention has been given to all the finishing touches.

This product is made with Primegreen, a series of high-performance recycled materials."
